ID,Type,Upload Failed,menu item,Meal Category (from menu item),Meal Type (from menu item),Nutrition (from menu item),Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: neve_meta_enable_content_width,Meta: neve_meta_content_width
99,simple,,Sesame Chicken With Bok Choy And Brown Rice,Protein Plus,Entree,Protein : 30g | Carbs : 39g,Sesame Chicken With Bok Choy And Brown Rice,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
8,simple,,Sesame Chicken With Bok Choy And Brown Rice,Protein Plus,Entree,Protein : 30g | Carbs : 39g,Sesame Chicken With Bok Choy And Brown Rice,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
34,simple,,Shrimp With Roasted Cauliflower,Keto,Entree,Protein : 29g | Net Carbs : 5g,Shrimp With Roasted Cauliflower,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
95,simple,,Shrimp With Roasted Cauliflower,Keto,Entree,Protein : 29g | Net Carbs : 5g,Shrimp With Roasted Cauliflower,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
76,simple,,Slow Cooked Rosemary-Thyme Beef With Root Vegetables,Paleo,Entree,Protein : 41g | Carbs : 27g,Slow Cooked Rosemary-Thyme Beef With Root Vegetables,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
43,simple,,Slow Cooked Rosemary-Thyme Beef With Root Vegetables,Paleo,Entree,Protein : 41g | Carbs : 27g,Slow Cooked Rosemary-Thyme Beef With Root Vegetables,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
111,simple,,Spiced Cauliflower,Low Carb Vegan,Entree,Protein : 6g | Carbs : 22g,Spiced Cauliflower,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Low Carb Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
47,simple,,Spiced Cauliflower With Shrimp,Paleo,Entree,Protein : 30g | Carbs : 29g,Spiced Cauliflower With Shrimp,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
106,simple,,Spinach Pesto Veggies,Low Carb Vegan,Entree,Protein : 6g | Carbs : 21g,Spinach Pesto Veggies,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Low Carb Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
87,simple,,Sunnyside With Pesto,Protein Plus,Breakfast,Protein : 17g | Carbs : 11g,Sunnyside With Pesto,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
102,simple,,Sunnyside With Pesto,Protein Plus,Breakfast,Protein : 17g | Carbs : 11g,Sunnyside With Pesto,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
53,simple,,Sunnyside With Pesto,Protein Plus,Breakfast,Protein : 17g | Carbs : 11g,Sunnyside With Pesto,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
18,simple,,Sunnyside With Pesto,Protein Plus,Breakfast,Protein : 17g | Carbs : 11g,Sunnyside With Pesto,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
94,simple,,Teriyaki Chicken Breast With Green Beans And Quinoa,Protein Plus,Entree,Protein : 41g | Carbs : 55g,Teriyaki Chicken Breast With Green Beans And Quinoa,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
10,simple,,Teriyaki Chicken Breast With Green Beans And Quinoa,Protein Plus,Entree,Protein : 41g | Carbs : 55g,Teriyaki Chicken Breast With Green Beans And Quinoa,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
110,simple,,Teriyaki Green Beans,Low Carb Vegan,Entree,Protein : 5g | Carbs : 28g,Teriyaki Green Beans,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Low Carb Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
19,simple,,Tofu Scramble With Beyond Sausage,Protein Plus,Breakfast,Protein : 26g | Carbs : 21g,Tofu Scramble With Beyond Sausage,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
71,simple,,Tofu Scramble With Beyond Sausage,Protein Plus,Breakfast,Protein : 26g | Carbs : 21g,Tofu Scramble With Beyond Sausage,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
101,simple,,Tofu Scramble With Impossible Sausage,Protein Plus,Breakfast,Protein : 21g | Carbs : 22g,Tofu Scramble With Impossible Sausage,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
15,simple,,Tofu Scramble With Impossible Sausage,Protein Plus,Breakfast,Protein : 21g | Carbs : 22g,Tofu Scramble With Impossible Sausage,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
70,simple,,Tofu Scramble With Impossible Sausage,Protein Plus,Breakfast,Protein : 21g | Carbs : 22g,Tofu Scramble With Impossible Sausage,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
11,simple,,Tomato Bisque Soup With Side Of Grilled Chicken,Protein Plus,Entree,Protein : 40g | Carbs : 17g,Tomato Bisque Soup With Side Of Grilled Chicken,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
66,simple,,Tomato Bisque Soup With Side Of Plant-Based Chickn,Standard Vegan,Entree,Protein : 22g | Carbs : 19g,Tomato Bisque Soup With Side Of Plant-Based Chickn,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
50,simple,,Tomato Bisque Soup With Side Of Roasted Chicken,Paleo,Entree,Protein : 40g | Carbs : 17g,Tomato Bisque Soup With Side Of Roasted Chicken,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
85,simple,,Tomato Bisque Soup With Side Of Roasted Chicken,Paleo,Entree,Protein : 40g | Carbs : 17g,Tomato Bisque Soup With Side Of Roasted Chicken,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
114,simple,,Tomato Coconut Bisque Soup,Low Carb Vegan,Entree,Protein : 5g | Carbs : 17g,Tomato Coconut Bisque Soup,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Low Carb Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
125,simple,,Turkey (16oz),Bulk,Bulk,Protein : 31g | Carbs : 0g,Turkey (16oz),1,0,visible,,,,,,,,,,0,0,,,,,,,,,Bulk,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
69,simple,,Vegan Just Egg Bites with Cajun Potatoes,Standard Vegan,Breakfast,Protein : 13g | Carbs : 28g,Vegan Just Egg Bites with Cajun Potatoes,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
113,simple,,Veggie Bowl With Chipotle,Low Carb Vegan,Entree,Protein : 4g | Carbs : 16g,Veggie Bowl With Chipotle,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Low Carb Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
122,simple,,Venison (16oz),Bulk,Bulk,Protein : 34g | Carbs : 0g,Venison (16oz),1,0,visible,,,,,,,,,,0,0,,,,,,,,,Bulk,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
3,simple,,West Africa Roasted Chicken Jollof Rice Bowl,Protein Plus,Entree,Protein : 29g | Carbs : 35g,West Africa Roasted Chicken Jollof Rice Bowl,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
56,simple,,West African Jollof Plant-Based Chicken Rice Bowl,Standard Vegan,Entree,Protein : 22g | Carbs : 42g,West African Jollof Plant-Based Chicken Rice Bowl,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
52,simple,,Yellow Squash Frittata with Onion and Peppers,Protein Plus,Breakfast,Protein : 19g | Carbs : 8g,Yellow Squash Frittata with Onion and Peppers,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
104,simple,,Yellow Squash Frittata with Onion and Peppers,Protein Plus,Breakfast,Protein : 19g | Carbs : 8g,Yellow Squash Frittata with Onion and Peppers,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
88,simple,,Yellow Squash Frittata with Onion and Peppers,Protein Plus,Breakfast,Protein : 19g | Carbs : 8g,Yellow Squash Frittata with Onion and Peppers,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
17,simple,,Yellow Squash Frittata with Onion and Peppers,Protein Plus,Breakfast,Protein : 19g | Carbs : 8g,Yellow Squash Frittata with Onion and Peppers,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
